home_team,away_team,home_result,draw,away_result
Real Betis,Real Madrid,28.0,7.0,3.0
Barcelona,Getafe,1.4,4.5,7.5
Cadiz,Osasuna,3.2,3.0,2.3
Rayo Vallecano,Granada,2.5,3.1,2.8
Atletico Madrid,Villarreal CF,1.8,3.2,4.75
Levante,Rayo Vallecano,1.87,3.4,4.0
Espanyol,Atletico Madrid,3.8,3.2,2.0
Real Madrid,Celta Vigo,1.4,4.75,6.5
Villarreal CF,Alaves,1.52,4.25,5.5
Sevilla,Barcelona,2.8,3.3,2.4
Cadiz,Real Sociedad,4.75,3.4,1.75
Osasuna,Valencia,2.4,3.2,2.9
Getafe,Elche Cf,1.8,3.3,4.5
Granada,Real Betis,2.9,3.2,2.4
Athletic Bilbao,Mallorca,1.75,3.5,4.5
